episode,collision,success,total_reward,episode_duration_s,steps,avg_speed_ms,lane_changes,speed_compliance,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate
1,True,False,8.168553941010392,3.301934242248535,10,0.3309422,4,1.0,0.07936484,0.26068053,-1,-1,0.0
2,True,False,5.441716753241708,2.3338570594787598,7,0.31390035,3,1.0,0.12363975,0.36431947,-1,-1,0.0
3,True,False,11.464484012978446,4.568667888641357,15,0.28048104,6,1.0,0.06750004,0.26953587,-1,-1,0.0
4,True,False,10.956076186953148,4.310387849807739,14,0.3016913,5,1.0,0.0654204,0.3125,-1,-1,0.0
5,True,False,1.6651677790131174,0.9124140739440918,3,0.24774861,1,1.0,0.2723838,0.31180274,-1,-1,0.0
6,True,False,2.8594754542434417,1.4031643867492676,4,0.31990227,2,1.0,0.1913256,0.31180274,-1,-1,0.0
7,True,False,8.571026479831767,3.8515408039093018,11,0.3137031,2,1.0,0.08751737,0.26953587,-1,-1,0.0
8,True,False,2.893769661827607,1.4148705005645752,4,0.32869688,2,1.0,0.18253472,0.31180274,-1,-1,0.0
9,True,False,4.217482420989839,1.9602303504943848,6,0.28144962,3,1.0,0.13538384,0.31193057,-1,-1,0.0
10,True,False,10.368474974549004,4.293171405792236,14,0.27997378,5,1.0,0.056449093,0.2704115,-1,-1,0.0
11,True,False,9.37626423849516,5.122903108596802,13,0.26727438,5,1.0,0.1020697,0.36293277,-1,-1,0.0
12,True,False,4.375410866480178,1.9219458103179932,6,0.30884284,3,1.0,0.121584035,0.2704115,-1,-1,0.0
13,True,False,5.463177121178728,2.187175989151001,7,0.3360758,4,1.0,0.1142627,0.31180274,-1,-1,0.0
14,True,False,12.703377707604009,4.269206285476685,14,0.35804406,4,1.0,0.07695147,0.36431947,-1,-1,0.0
15,True,False,1.897784788376678,0.9362502098083496,3,0.3208343,2,1.0,0.21674456,0.31180274,-1,-1,0.0
16,True,False,3.882418999964058,1.5325255393981934,5,0.3258221,1,1.0,0.19208938,0.36431947,-1,-1,0.0
17,True,False,4.665833514682211,2.137730598449707,7,0.28125203,2,1.0,0.11418714,0.26068053,-1,-1,0.0
18,True,False,15.46287821955074,6.047648668289185,20,0.28150177,11,1.0,0.048813857,0.2704115,-1,-1,0.0
19,True,False,11.35510572256134,4.442517280578613,15,0.2966754,1,1.0,0.088405594,0.26953587,-1,-1,0.0
20,True,False,5.351525391581902,2.0787525177001953,7,0.32724997,2,1.0,0.15311484,0.36431947,-1,-1,0.0
21,True,False,11.951309647297297,4.137281656265259,14,0.32444936,9,1.0,0.069743015,0.31180274,-1,-1,0.0
22,True,False,13.01638516613056,4.807816743850708,16,0.33296254,6,1.0,0.062918276,0.26953587,-1,-1,0.0
23,True,False,22.944591471645165,8.395984888076782,28,0.3231926,9,1.0,0.0467344,0.3125,-1,-1,0.0
24,True,False,5.560096551145304,2.1176655292510986,7,0.3485183,1,1.0,0.10518248,0.3125,-1,-1,0.0
25,True,False,11.414305115210391,4.180237770080566,14,0.3232459,4,1.0,0.07587291,0.36431947,-1,-1,0.0
