episode,collision,success,total_reward,episode_duration_s,steps,avg_speed_ms,lane_changes,speed_compliance,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate
1,True,False,2.6404633605645476,1.329958438873291,4,0.263604,3,1.0,0.2041837,0.31180274,-1,-1,0.0
2,True,False,6.748001496257854,2.412367582321167,8,0.33381495,4,1.0,0.114942536,0.3125,-1,-1,0.0
3,True,False,1.93884191530486,0.9290115833282471,3,0.3133606,1,1.0,0.24201894,0.3125,-1,-1,0.0
4,True,False,16.482900322198013,7.274606943130493,23,0.27548492,9,1.0,0.054724287,0.36293277,-1,-1,0.0
5,True,False,3.222222222222222,1.4612669944763184,5,0.29088825,2,1.0,0.14661168,0.3125,-1,-1,0.0
6,True,False,27.54926984777734,11.355958700180054,38,0.2815351,16,1.0,0.039151877,0.31193057,-1,-1,0.0
7,True,False,3.5260468279569954,1.5088274478912354,5,0.2993369,2,1.0,0.16427389,0.31180274,-1,-1,0.0
8,True,False,3.2844096963542437,1.5600852966308594,5,0.27649158,5,1.0,0.16072626,0.31180274,-1,-1,0.0
9,True,False,7.453185012566527,3.0229389667510986,10,0.28999302,4,1.0,0.08471268,0.31319726,-1,-1,0.0
10,True,False,9.77027665002997,3.7541608810424805,12,0.32086647,6,1.0,0.08982864,0.31180274,-1,-1,0.0
11,True,False,2.4892207516934675,1.3044123649597168,4,0.3073305,2,1.0,0.16089514,0.31180274,-1,-1,0.0
12,True,False,26.38914350020524,9.903618335723877,33,0.29822123,12,1.0,0.04938036,0.31193057,-1,-1,0.0
13,True,False,11.130433793946622,4.80715537071228,16,0.2771289,6,1.0,0.076119974,0.31180274,-1,-1,0.0
14,True,False,8.945689831671048,3.069460153579712,10,0.3522056,6,1.0,0.09434013,0.36431947,-1,-1,0.0
15,True,False,9.94741250995479,4.013228178024292,13,0.30557257,4,1.0,0.09530052,0.36431947,-1,-1,0.0
16,True,False,6.178991727984344,2.7382633686065674,9,0.27262273,3,1.0,0.13092099,0.3125,-1,-1,0.0
17,True,False,2.705423128284715,1.2331843376159668,4,0.31943956,3,1.0,0.192314,0.3125,-1,-1,0.0
18,True,False,3.4189234754337074,1.5573346614837646,5,0.28977516,3,1.0,0.18860015,0.31180274,-1,-1,0.0
19,True,False,3.658953597492107,1.5227842330932617,5,0.32131672,3,1.0,0.17134017,0.31193057,-1,-1,0.0
20,True,False,12.23528122863287,4.966846704483032,16,0.288794,5,1.0,0.06715213,0.31180274,-1,-1,0.0
