episode,collision,success,total_reward,episode_duration_s,steps,avg_speed_ms,lane_changes,speed_compliance,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate
1,True,False,14.123514612897347,6.0073630809783936,19,0.2861372,8,1.0,0.07096666,0.31180274,-1,-1,0.0
2,True,False,1.777777777777778,0.9893250465393066,3,0.26743293,3,1.0,0.25340033,0.3125,-1,-1,0.0
3,True,False,5.711890774007272,2.6617350578308105,8,0.2706303,1,1.0,0.10865327,0.26068053,-1,-1,0.0
4,True,False,3.6829333829619237,1.5521788597106934,5,0.31812283,2,1.0,0.17404465,0.31180274,-1,-1,0.0
5,True,False,2.5777777777777775,1.2689228057861328,4,0.284414,0,1.0,0.18433595,0.3125,-1,-1,0.0
6,True,False,3.131155912955985,1.5799217224121094,5,0.26619068,3,1.0,0.1506488,0.31319726,-1,-1,0.0
7,True,False,14.28645994546941,5.667308330535889,19,0.27176756,6,1.0,0.06145385,0.26953587,-1,-1,0.0
8,True,False,3.8392087681010065,1.4776825904846191,5,0.3432765,1,1.0,0.1748664,0.36431947,-1,-1,0.0
9,True,False,5.483813435626181,2.3512020111083984,8,0.29397345,5,1.0,0.10594597,0.31180274,-1,-1,0.0
10,True,False,2.7546505655459796,1.1471998691558838,4,0.3332272,2,1.0,0.19459398,0.36431947,-1,-1,0.0
11,True,False,4.513892420861787,2.0561373233795166,7,0.26443914,3,1.0,0.13876924,0.3125,-1,-1,0.0
12,True,False,13.89901231493277,5.088785886764526,17,0.31469873,8,1.0,0.06305483,0.31180274,-1,-1,0.0
13,True,False,1.9985413685167652,0.9007587432861328,3,0.32616088,1,1.0,0.22921868,0.3125,-1,-1,0.0
14,True,False,6.771278199124938,2.392428159713745,8,0.3571943,2,1.0,0.10748917,0.36431947,-1,-1,0.0
15,True,False,12.59660703393308,5.022695064544678,17,0.2933946,5,1.0,0.07340979,0.31319726,-1,-1,0.0
16,True,False,1.0433416688823631,0.6159627437591553,2,0.32265803,1,1.0,0.40598077,0.44764203,-1,-1,0.0
17,True,False,4.262210085774251,1.7569785118103027,6,0.31227127,2,1.0,0.15053001,0.3125,-1,-1,0.0
18,True,False,3.903225104976453,1.4379363059997559,5,0.35967726,3,1.0,0.12496541,0.3125,-1,-1,0.0
19,True,False,28.630031153379637,10.814229249954224,37,0.29379958,13,1.0,0.046682604,0.4072836,-1,-1,0.0
20,True,False,17.196086863055434,5.784396648406982,20,0.3191915,4,1.0,0.06023075,0.26068053,-1,-1,0.0
21,True,False,6.021866805168827,2.601334571838379,9,0.26564863,7,1.0,0.09397672,0.31180274,-1,-1,0.0
22,True,False,4.620067645983246,2.003371238708496,7,0.2603058,3,1.0,0.110724606,0.26953587,-1,-1,0.0
23,False,False,30.634142048875425,11.68453574180603,40,0.28259078,17,1.0,0.049009733,0.36431947,-1,-1,0.0
24,True,False,7.068398180928372,2.9207725524902344,10,0.27582657,4,1.0,0.08583833,0.3125,-1,-1,0.0
25,True,False,7.846706086328121,2.9600071907043457,10,0.30511585,4,1.0,0.10627152,0.3125,-1,-1,0.0
26,True,False,8.57128390623608,2.971527576446533,10,0.34466225,1,1.0,0.1145186,0.36431947,-1,-1,0.0
27,True,False,18.196780987394877,7.293661594390869,25,0.2732032,9,1.0,0.04552403,0.31180274,-1,-1,0.0
28,True,False,6.981397481231814,2.960120916366577,10,0.28307536,5,1.0,0.102070525,0.31180274,-1,-1,0.0
29,True,False,1.9422292328211224,0.8853638172149658,3,0.3208343,2,1.0,0.21674456,0.31180274,-1,-1,0.0
30,True,False,8.10449408431752,3.314157247543335,11,0.30195132,3,1.0,0.104039714,0.31180274,-1,-1,0.0
31,True,False,15.81175714290472,5.300493478775024,18,0.35190418,6,1.0,0.05271818,0.3125,-1,-1,0.0
32,True,False,12.353075246602634,5.010861396789551,17,0.28088757,7,1.0,0.04960891,0.31319726,-1,-1,0.0
33,True,False,13.732530938663738,5.704245328903198,19,0.28573936,3,1.0,0.049670294,0.26953587,-1,-1,0.0
34,True,False,3.6143754939090096,1.660956859588623,5,0.33424386,2,1.0,0.15009525,0.31180274,-1,-1,0.0
35,True,False,3.045014346830444,1.2593810558319092,4,0.34902504,1,1.0,0.20470649,0.36431947,-1,-1,0.0
36,True,False,15.220613007294295,6.047079086303711,20,0.2883551,7,1.0,0.05329002,0.4072836,-1,-1,0.0
37,True,False,12.40978866565543,4.797106504440308,16,0.29258808,7,1.0,0.07406224,0.3125,-1,-1,0.0
38,True,False,17.59683716839145,6.574375867843628,21,0.31422353,9,1.0,0.069885336,0.36293277,-1,-1,0.0
39,True,False,22.246137933197115,8.819580793380737,28,0.28634915,9,1.0,0.048189588,0.3125,-1,-1,0.0
40,True,False,20.52233488392554,7.533655643463135,24,0.34358543,8,1.0,0.056769922,0.26068053,-1,-1,0.0
41,True,False,23.47834121138031,9.798740148544312,30,0.30199623,11,1.0,0.05516946,0.31180274,-1,-1,0.0
42,False,False,29.462985238866104,12.213423490524292,40,0.27347875,19,1.0,0.040989272,0.3125,-1,-1,0.0
43,True,False,3.64457596664837,1.8507261276245117,5,0.32501224,2,1.0,0.15394232,0.31180274,-1,-1,0.0
44,True,False,11.464103791162813,5.192993402481079,16,0.27996653,5,1.0,0.07993114,0.36293277,-1,-1,0.0
45,True,False,9.061580712979989,3.749284505844116,11,0.3405458,6,1.0,0.10046418,0.36431947,-1,-1,0.0
46,True,False,7.621877663575551,3.23712420463562,9,0.35414866,3,1.0,0.08183132,0.31180274,-1,-1,0.0
47,True,False,1.6231134545264723,1.0528137683868408,3,0.29180583,2,1.0,0.2277801,0.31193057,-1,-1,0.0
48,True,False,2.5327704576054035,1.3522911071777344,4,0.30822253,2,1.0,0.21234687,0.3125,-1,-1,0.0
49,True,False,4.4570591400061526,1.8036210536956787,6,0.32515615,3,1.0,0.14799497,0.31193057,-1,-1,0.0
50,True,False,16.387008474559483,6.601180076599121,22,0.28882927,12,1.0,0.038255896,0.26068053,-1,-1,0.0
