episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,149.71370103508863,200,0.28337276,103,0.017296389,0.36676955,-1,-1,0.0,False,False
2,157.1164125997527,200,0.30378827,21,0.03363107,0.31220847,-1,-1,0.0,False,False
3,18.77512896524175,20,0.36510378,12,0.046005636,0.36676955,-1,-1,0.0,True,False
4,140.4849472743727,200,0.25856125,190,0.0053119296,0.31220847,-1,-1,0.0,False,False
5,7.511719935572562,9,0.3588743,6,0.09660072,0.36676955,-1,-1,0.0,True,False
6,140.68464040024713,200,0.2582342,194,0.004335069,0.36676955,-1,-1,0.0,False,False
7,152.97948407597463,200,0.29275653,95,0.021353763,0.36676955,-1,-1,0.0,False,False
8,17.261755150745003,21,0.31848556,15,0.048914284,0.3122292,-1,-1,0.0,True,False
9,128.46212887676197,166,0.29403946,156,0.006763032,0.36676955,-1,-1,0.0,True,False
10,21.508670620037844,25,0.3270775,18,0.058002397,0.36676955,-1,-1,0.0,True,False
11,143.14862008890313,200,0.2690185,61,0.020627534,0.31220847,-1,-1,0.0,False,False
12,153.12047662953597,200,0.29012653,111,0.017260928,0.36676955,-1,-1,0.0,False,False
13,49.7840696588232,67,0.28210416,59,0.017200263,0.36676955,-1,-1,0.0,True,False
14,70.83948486190896,90,0.2864921,69,0.012985163,0.31220847,-1,-1,0.0,True,False
15,144.69456424602666,200,0.26951408,163,0.0104619535,0.31220847,-1,-1,0.0,False,False
16,19.859559866280062,24,0.32163197,18,0.041463386,0.36676955,-1,-1,0.0,True,False
17,141.81117217394566,200,0.2614286,179,0.004772604,0.36676955,-1,-1,0.0,False,False
18,140.40266187238262,200,0.25766754,129,0.01168587,0.36676955,-1,-1,0.0,False,False
19,6.17915665384005,7,0.36467564,5,0.08920212,0.31220847,-1,-1,0.0,True,False
20,20.691180260922916,24,0.33055687,19,0.043004453,0.3122292,-1,-1,0.0,True,False
