episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,14.1476182005722,17,0.32396376,7,0.0702912,0.36676955,-1,-1,0.0,True,False
2,152.93099540043036,200,0.28333497,140,0.012596555,0.36676955,-1,-1,0.0,False,False
3,105.81704175267068,140,0.28797898,88,0.031037897,0.36676955,-1,-1,0.0,True,False
4,5.98611406249323,8,0.28279182,2,0.14436796,0.36676955,-1,-1,0.0,True,False
5,6.3820910488395635,8,0.3455752,0,0.13670963,0.36676955,-1,-1,0.0,True,False
6,56.613838762277425,71,0.29243124,65,0.015556149,0.31220847,-1,-1,0.0,True,False
7,3.9318778792367755,5,0.3498635,3,0.16679232,0.36676955,-1,-1,0.0,True,False
8,150.81417874448903,200,0.2740034,139,0.0055842935,0.36676955,-1,-1,0.0,False,False
9,4.668311210638126,6,0.32304507,2,0.13219994,0.31220847,-1,-1,0.0,True,False
10,76.68079652889884,97,0.2965843,76,0.025088977,0.36676955,-1,-1,0.0,True,False
11,16.731644167587415,21,0.30353355,9,0.06875376,0.36676955,-1,-1,0.0,True,False
12,11.612489883486282,13,0.3424991,6,0.080831364,0.31220847,-1,-1,0.0,True,False
13,7.102351502170851,9,0.2983144,3,0.14721486,0.36676955,-1,-1,0.0,True,False
14,144.25197434454063,200,0.26085094,147,0.007870777,0.36676955,-1,-1,0.0,False,False
15,147.51709686071112,200,0.27472755,147,0.012804327,0.36676955,-1,-1,0.0,False,False
16,145.21274455426652,200,0.26681474,91,0.007047581,0.31220847,-1,-1,0.0,False,False
17,10.851823734491152,12,0.35749313,4,0.06738513,0.3122292,-1,-1,0.0,True,False
18,28.384993464536432,37,0.29580003,8,0.03723336,0.36676955,-1,-1,0.0,True,False
19,144.3819166352693,200,0.26403818,102,0.0069914963,0.36676955,-1,-1,0.0,False,False
20,18.032044903537596,21,0.324376,19,0.04010133,0.3122292,-1,-1,0.0,True,False
