episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,5.993501467089284,7,0.35035318,5,0.12681451,0.36431947,-1,-1,0.0,True,False
2,199.9031998996115,200,0.37492934,5,0.0036431944,0.36431947,-1,-1,0.0,False,False
3,4.96987057125518,6,0.35146004,5,0.14262433,0.36431947,-1,-1,0.0,True,False
4,3.969890016251602,5,0.32776073,4,0.19013289,0.36431947,-1,-1,0.0,True,False
5,2.970010549603593,4,0.31334805,3,0.24005353,0.36431947,-1,-1,0.0,True,False
6,11.156281628240189,13,0.36380816,4,0.05347009,0.3125,-1,-1,0.0,True,False
7,6.015726263589177,7,0.3503534,5,0.12681451,0.36431947,-1,-1,0.0,True,False
8,3.183215102715377,4,0.3652204,3,0.18818116,0.36431947,-1,-1,0.0,True,False
9,10.015725579771573,11,0.35800713,5,0.08200895,0.36431947,-1,-1,0.0,True,False
10,2.1328445803017635,3,0.34714574,2,0.26557204,0.36431947,-1,-1,0.0,True,False
11,11.236533232961891,12,0.3738229,4,0.06071991,0.36431947,-1,-1,0.0,True,False
12,12.525416031428211,14,0.3589094,2,0.06729803,0.36431947,-1,-1,0.0,True,False
13,1.9720897949513816,3,0.3116177,2,0.30110005,0.36431947,-1,-1,0.0,True,False
14,5.039189336904085,6,0.33766276,3,0.15662879,0.36431947,-1,-1,0.0,True,False
15,1.9720897949513816,3,0.29265508,2,0.3200627,0.36431947,-1,-1,0.0,True,False
16,10.039185332523543,11,0.35936853,0,0.08070025,0.36431947,-1,-1,0.0,True,False
17,2.112913400778724,3,0.3405593,1,0.2725433,0.36431947,-1,-1,0.0,True,False
18,12.039185331956928,13,0.36295983,4,0.067098364,0.36431947,-1,-1,0.0,True,False
19,4.132770457605403,6,0.304204,5,0.14700894,0.3125,-1,-1,0.0,True,False
20,1.9749716587035702,3,0.3398392,2,0.27287856,0.36431947,-1,-1,0.0,True,False
