episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,2.305989141816983,3,0.37072733,0,0.24237521,0.36431947,-1,-1,0.0,True,False
2,1.8399878635520297,3,0.29320556,0,0.31989706,0.36431947,-1,-1,0.0,True,False
3,9.469407554212246,11,0.36943492,3,0.07063384,0.36431947,-1,-1,0.0,True,False
4,10.039185332523543,11,0.35683838,0,0.083230406,0.36431947,-1,-1,0.0,True,False
5,186.63918533194027,200,0.3749356,7,0.0036431944,0.36431947,-1,-1,0.0,False,False
6,12.728074220831687,14,0.36168984,0,0.06443561,0.36431947,-1,-1,0.0,True,False
7,6.704614585032927,8,0.35536227,1,0.10903481,0.36431947,-1,-1,0.0,True,False
8,8.03918535192631,9,0.35760865,3,0.09691986,0.36431947,-1,-1,0.0,True,False
9,7.802740889212361,9,0.36819825,0,0.08633026,0.36431947,-1,-1,0.0,True,False
10,5.305852683007814,6,0.37285298,1,0.12143856,0.36431947,-1,-1,0.0,True,False
11,195.52807422082918,200,0.3749356,0,0.0036431944,0.36431947,-1,-1,0.0,False,False
12,199.9725186652732,200,0.3749356,7,0.0036431944,0.36431947,-1,-1,0.0,False,False
13,2.8615446973725382,4,0.31625435,0,0.23762292,0.36431947,-1,-1,0.0,True,False
14,4.905856003570752,6,0.3417036,0,0.152588,0.36431947,-1,-1,0.0,True,False
15,10.239185332039627,12,0.3594715,1,0.075174876,0.36431947,-1,-1,0.0,True,False
16,10.072448475938849,11,0.36388272,3,0.076186076,0.36431947,-1,-1,0.0,True,False
17,9.868475208478547,11,0.36560732,0,0.07446145,0.36431947,-1,-1,0.0,True,False
18,10.239185332039627,12,0.36333364,1,0.07131275,0.36431947,-1,-1,0.0,True,False
19,10.772518665372958,12,0.36195648,0,0.07268989,0.36431947,-1,-1,0.0,True,False
20,13.972518665273304,16,0.36625022,0,0.05348456,0.36431947,-1,-1,0.0,True,False
