episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,7.0031297035065885,8,0.35955834,5,0.104755834,0.36431947,-1,-1,0.0,True,False
2,16.039185331939898,17,0.36182216,6,0.05528112,0.36431947,-1,-1,0.0,True,False
3,1.9054231282847152,3,0.30709973,2,0.30561802,0.36431947,-1,-1,0.0,True,False
4,1.1849092732318491,2,0.35583794,1,0.37280083,0.3812822,-1,-1,0.0,True,False
5,0.9327704576054037,2,0.29549405,1,0.43314475,0.50197,-1,-1,0.0,True,False
6,5.039189336904085,6,0.3341428,0,0.1601488,0.36431947,-1,-1,0.0,True,False
7,5.072448242963752,6,0.35461828,4,0.1396733,0.36431947,-1,-1,0.0,True,False
8,199.94905891252122,200,0.3749327,4,0.0036431947,0.36431947,-1,-1,0.0,False,False
9,18.37251866529026,22,0.34096172,12,0.041004475,0.3125,-1,-1,0.0,True,False
10,9.086962862711776,10,0.36657634,6,0.07987501,0.36431947,-1,-1,0.0,True,False
11,12.969866566281091,14,0.3637311,4,0.06230562,0.36431947,-1,-1,0.0,True,False
12,199.8601669578956,200,0.37493268,1,0.003654674,0.36431947,-1,-1,0.0,False,False
13,199.76986047586973,200,0.37492934,3,0.0036551612,0.36431947,-1,-1,0.0,False,False
14,199.83510832949972,200,0.37492603,3,0.0036477486,0.36431947,-1,-1,0.0,False,False
15,10.96986656637792,12,0.36056757,3,0.07397523,0.36431947,-1,-1,0.0,True,False
16,1.9054231282847152,3,0.3217528,2,0.290965,0.36431947,-1,-1,0.0,True,False
17,11.015725579287654,12,0.36062282,2,0.07397523,0.36431947,-1,-1,0.0,True,False
18,2.1162696985636513,3,0.36191702,2,0.25080073,0.36431947,-1,-1,0.0,True,False
19,4.661411559126308,6,0.3459595,1,0.14833206,0.36431947,-1,-1,0.0,True,False
20,6.015726263589177,7,0.34135333,6,0.13581458,0.36431947,-1,-1,0.0,True,False
