episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,1.9155860147719292,3,0.33403242,1,0.27868533,0.36431947,-1,-1,0.0,True,False
2,3.4616256800357856,5,0.27878788,5,0.15834174,0.31193057,-1,-1,0.0,True,False
3,6.74704395972421,8,0.32854134,2,0.12017447,0.31193057,-1,-1,0.0,True,False
4,1.8622100857742518,3,0.31204256,1,0.30106005,0.36431947,-1,-1,0.0,True,False
5,17.50081096589389,20,0.33051795,14,0.045802604,0.31193057,-1,-1,0.0,True,False
6,199.8601669578956,200,0.37493268,195,0.003654674,0.36431947,-1,-1,0.0,False,False
7,5.265167721296372,7,0.28726387,7,0.11422223,0.31180274,-1,-1,0.0,True,False
8,15.354782682889347,17,0.34801787,14,0.046903268,0.31180274,-1,-1,0.0,True,False
9,3.5078503534786876,5,0.281045,5,0.15624905,0.31193057,-1,-1,0.0,True,False
10,7.637690391627058,9,0.3349834,6,0.09847675,0.31180274,-1,-1,0.0,True,False
11,199.9725186652732,200,0.3749356,198,0.0036431944,0.36431947,-1,-1,0.0,False,False
12,8.597465475859298,10,0.34154782,6,0.07992296,0.31193057,-1,-1,0.0,True,False
13,4.904618473041006,6,0.3512626,2,0.14293228,0.36431947,-1,-1,0.0,True,False
14,3.928097656989895,5,0.3470005,0,0.17114238,0.36431947,-1,-1,0.0,True,False
15,8.567482605820281,10,0.34201428,4,0.08562735,0.31193057,-1,-1,0.0,True,False
16,6.667920389980785,8,0.33601093,5,0.09691557,0.31180274,-1,-1,0.0,True,False
17,6.974517019853211,9,0.295025,9,0.08680504,0.31193057,-1,-1,0.0,True,False
18,17.104353053335995,19,0.3436987,13,0.04583601,0.31180274,-1,-1,0.0,True,False
19,5.241183686519883,7,0.28853923,7,0.113099374,0.31193057,-1,-1,0.0,True,False
20,13.972518782229344,16,0.33126387,11,0.057220895,0.3125,-1,-1,0.0,True,False
