episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,33.989615908238605,40,0.30612832,9,0.037595116,0.36431947,-1,-1,0.0,False,False
2,10.304337395617768,12,0.32740265,5,0.09947279,0.31193057,-1,-1,0.0,True,False
3,33.886153444484954,40,0.31098133,19,0.037089318,0.36431947,-1,-1,0.0,False,False
4,30.93653422468018,40,0.2687875,1,0.05288496,0.31180274,-1,-1,0.0,False,False
5,31.5797804019799,40,0.27817482,18,0.031616203,0.31193057,-1,-1,0.0,False,False
6,30.005106210732336,40,0.26592487,3,0.025956163,0.36431947,-1,-1,0.0,False,False
7,32.963492749788855,40,0.31675965,13,0.041907307,0.36431947,-1,-1,0.0,False,False
8,28.735050421446186,40,0.27371806,8,0.021301309,0.36431947,-1,-1,0.0,False,False
9,27.24815791059396,33,0.30703935,6,0.04106863,0.31180274,-1,-1,0.0,True,False
10,17.87794060114527,23,0.28836626,9,0.055639703,0.31180274,-1,-1,0.0,True,False
11,30.37719838974477,40,0.2745222,33,0.02462472,0.31180274,-1,-1,0.0,False,False
12,35.183695692554245,40,0.3307985,18,0.041490264,0.36431947,-1,-1,0.0,False,False
13,22.588800668825407,28,0.29631543,5,0.044355802,0.31180274,-1,-1,0.0,True,False
14,9.282490166097624,11,0.32793438,6,0.116016075,0.31193057,-1,-1,0.0,True,False
15,28.327504175470256,36,0.29549876,11,0.04572689,0.36431947,-1,-1,0.0,True,False
16,30.137097205495124,40,0.25965765,2,0.018632844,0.31180274,-1,-1,0.0,False,False
17,27.794116856140352,34,0.31475073,16,0.04266682,0.36431947,-1,-1,0.0,True,False
18,22.483143742222403,29,0.29763663,9,0.063664,0.36431947,-1,-1,0.0,True,False
19,30.244454274064164,40,0.261198,4,0.022924611,0.4072836,-1,-1,0.0,False,False
20,31.971180675608018,40,0.28091222,3,0.051125813,0.31180274,-1,-1,0.0,False,False
