episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,199.9725186652732,200,0.3749356,0,0.0036431944,0.36431947,-1,-1,0.0,False,False
2,11.039185332039624,12,0.36195648,1,0.07268989,0.36431947,-1,-1,0.0,True,False
3,4.96987057125518,6,0.34613508,3,0.14794932,0.36431947,-1,-1,0.0,True,False
4,3.6799359788422583,5,0.31227994,4,0.18014446,0.31193057,-1,-1,0.0,True,False
5,6.969866683234304,8,0.34830484,5,0.116009325,0.36431947,-1,-1,0.0,True,False
6,1.995543419107585,3,0.31204256,1,0.30106005,0.36431947,-1,-1,0.0,True,False
7,199.7684359587101,200,0.37492603,3,0.0036495198,0.36431947,-1,-1,0.0,False,False
8,7.088972577792519,8,0.36719236,4,0.0972545,0.36431947,-1,-1,0.0,True,False
9,199.94905891252122,200,0.3749327,3,0.0036431947,0.36431947,-1,-1,0.0,False,False
10,199.9725186652732,200,0.3749356,1,0.0036431944,0.36431947,-1,-1,0.0,False,False
11,199.76986047586973,200,0.37492934,2,0.0036551612,0.36431947,-1,-1,0.0,False,False
12,3.8906972481251363,5,0.3543361,0,0.16380675,0.36431947,-1,-1,0.0,True,False
13,0.9576427299377256,2,0.31298903,1,0.41564977,0.46698007,-1,-1,0.0,True,False
14,13.112611414155506,14,0.37058595,4,0.055657666,0.36431947,-1,-1,0.0,True,False
15,5.202741231539002,6,0.3647974,2,0.12949415,0.36431947,-1,-1,0.0,True,False
16,12.925417012192849,14,0.3649113,4,0.06120121,0.36431947,-1,-1,0.0,True,False
17,6.043600881933965,7,0.36006248,6,0.11701069,0.36431947,-1,-1,0.0,True,False
18,199.9725186652732,200,0.3749356,1,0.0036431944,0.36431947,-1,-1,0.0,False,False
19,8.168441666248523,9,0.37335628,5,0.08106107,0.36431947,-1,-1,0.0,True,False
20,16.072448475972806,17,0.36780643,4,0.04929687,0.36431947,-1,-1,0.0,True,False
