episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,4.956369953755559,6,0.36464688,1,0.12964468,0.36431947,-1,-1,0.0,True,False
2,3.969890016251602,5,0.3299457,4,0.18794788,0.36431947,-1,-1,0.0,True,False
3,1.9720897949513816,3,0.3116177,2,0.30110005,0.36431947,-1,-1,0.0,True,False
4,11.567481924834464,13,0.3440632,8,0.0714305,0.31193057,-1,-1,0.0,True,False
5,1.9054231282847152,3,0.31650117,2,0.29621658,0.36431947,-1,-1,0.0,True,False
6,2.016534239395826,3,0.3039576,2,0.30876017,0.36431947,-1,-1,0.0,True,False
7,5.969867250679444,7,0.35025865,5,0.12681451,0.36431947,-1,-1,0.0,True,False
8,2.202809828394696,3,0.35460556,2,0.258497,0.36431947,-1,-1,0.0,True,False
9,4.003128277039813,5,0.3502932,4,0.16760042,0.36431947,-1,-1,0.0,True,False
10,1.2531265116271388,2,0.35620135,1,0.37243742,0.3805554,-1,-1,0.0,True,False
11,11.901774996183454,13,0.36408404,4,0.06589721,0.36431947,-1,-1,0.0,True,False
12,199.9725186652732,200,0.3749356,2,0.0036431944,0.36431947,-1,-1,0.0,False,False
13,199.9725186652732,200,0.3749356,3,0.0036431944,0.36431947,-1,-1,0.0,False,False
14,13.015725579190825,14,0.35744843,3,0.06863563,0.36431947,-1,-1,0.0,True,False
15,1.9720897949513816,3,0.3116177,2,0.30110005,0.36431947,-1,-1,0.0,True,False
16,199.94905891252122,200,0.3749327,2,0.0036431947,0.36431947,-1,-1,0.0,False,False
17,0.977214902049848,2,0.28028315,1,0.44835567,0.5323919,-1,-1,0.0,True,False
18,11.089459900174791,12,0.3663417,2,0.068256326,0.36431947,-1,-1,0.0,True,False
19,1.9054231282847152,3,0.29916972,2,0.31354806,0.36431947,-1,-1,0.0,True,False
20,15.003129710311095,16,0.36727917,3,0.052377924,0.36431947,-1,-1,0.0,True,False
