episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,7.643926587387545,9,0.34025076,4,0.08637954,0.31193057,-1,-1,0.0,True,False
2,11.229058912534157,12,0.3717948,8,0.062803246,0.36431947,-1,-1,0.0,True,False
3,6.820774244546859,8,0.34626934,3,0.10244647,0.31193057,-1,-1,0.0,True,False
4,5.15628178923371,6,0.36116776,2,0.1331238,0.36431947,-1,-1,0.0,True,False
5,12.851019720071735,14,0.3588511,11,0.05373099,0.31180274,-1,-1,0.0,True,False
6,3.509032970186055,5,0.30397177,5,0.13315785,0.31193057,-1,-1,0.0,True,False
7,5.042807361856428,6,0.36098316,1,0.13330843,0.36431947,-1,-1,0.0,True,False
8,1.774530175783222,3,0.26469857,2,0.25488737,0.31193057,-1,-1,0.0,True,False
9,11.955560618669743,13,0.36538482,9,0.051859535,0.31180274,-1,-1,0.0,True,False
10,1.86460856349122,3,0.29566324,2,0.25901666,0.31180274,-1,-1,0.0,True,False
11,12.039185331956928,13,0.3569272,9,0.07313101,0.36431947,-1,-1,0.0,True,False
12,4.844757563345305,6,0.34724662,1,0.11900004,0.31180274,-1,-1,0.0,True,False
13,15.949055858599714,17,0.36054567,13,0.056654938,0.36431947,-1,-1,0.0,True,False
14,3.039322475150316,4,0.3358668,0,0.21801044,0.36431947,-1,-1,0.0,True,False
15,4.772522670237419,6,0.34394294,0,0.15034862,0.36431947,-1,-1,0.0,True,False
16,4.438840539389321,6,0.2918471,4,0.15878424,0.31193057,-1,-1,0.0,True,False
17,2.64118375206621,4,0.27056852,4,0.19792253,0.31193057,-1,-1,0.0,True,False
18,10.202740887545579,11,0.36943492,6,0.07063384,0.36431947,-1,-1,0.0,True,False
19,2.770586565354553,4,0.29766816,2,0.21355975,0.31180274,-1,-1,0.0,True,False
20,1.7300857313387776,3,0.25878167,3,0.26080427,0.31193057,-1,-1,0.0,True,False
