episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,31.32683668369199,40,0.3043509,8,0.036984883,0.36431947,-1,-1,0.0,False,False
2,31.224184729742632,40,0.27354032,12,0.036402155,0.31193057,-1,-1,0.0,False,False
3,31.76688404665514,40,0.30455986,15,0.03347545,0.31193057,-1,-1,0.0,False,False
4,31.23653248536039,40,0.29829735,16,0.03416879,0.36431947,-1,-1,0.0,False,False
5,9.687389943518594,13,0.31084338,12,0.049572222,0.31180274,-1,-1,0.0,True,False
6,5.353516177805966,7,0.3230219,3,0.14167257,0.36431947,-1,-1,0.0,True,False
7,35.531461573540746,40,0.33851138,28,0.032039274,0.31180274,-1,-1,0.0,False,False
8,27.958993649922263,40,0.26408088,9,0.024352215,0.36431947,-1,-1,0.0,False,False
9,34.21923557900779,40,0.3267879,11,0.043471877,0.31180274,-1,-1,0.0,False,False
10,26.697808884885806,32,0.30854517,6,0.043448836,0.31193057,-1,-1,0.0,True,False
11,30.694034294344153,40,0.26594573,0,0.025957152,0.36431947,-1,-1,0.0,False,False
12,27.092649055885918,40,0.25499198,3,0.01818111,0.31180274,-1,-1,0.0,False,False
13,33.23361410990055,40,0.30117518,17,0.026711633,0.31180274,-1,-1,0.0,False,False
14,33.63450935468467,40,0.31039912,29,0.031023985,0.36431947,-1,-1,0.0,False,False
15,8.772173849350759,11,0.30414858,9,0.083845265,0.31193057,-1,-1,0.0,True,False
16,18.49414800139338,25,0.26310357,0,0.057775296,0.4072836,-1,-1,0.0,True,False
17,35.25097138272219,40,0.32768065,15,0.034309067,0.36431947,-1,-1,0.0,False,False
18,36.29105109232984,40,0.341692,17,0.03293339,0.31193057,-1,-1,0.0,False,False
19,31.57796572152786,40,0.30338764,12,0.041409407,0.36431947,-1,-1,0.0,False,False
20,31.600483428669644,40,0.28151608,6,0.046323285,0.31180274,-1,-1,0.0,False,False
