episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,31.572017077643366,40,0.28443283,21,0.026673054,0.31180274,-1,-1,0.0,False,False
2,32.4421501854939,40,0.29389992,12,0.0326006,0.36431947,-1,-1,0.0,False,False
3,3.8954856201909323,5,0.35478503,1,0.12966989,0.31180274,-1,-1,0.0,True,False
4,32.26468965214984,40,0.2892997,6,0.04240501,0.31180274,-1,-1,0.0,False,False
5,8.989181100122376,11,0.323397,6,0.10410596,0.36431947,-1,-1,0.0,True,False
6,15.48815953338398,19,0.30919254,4,0.07843145,0.4072836,-1,-1,0.0,True,False
7,15.945830934714532,19,0.33973,12,0.058676783,0.36431947,-1,-1,0.0,True,False
8,27.227455120839124,40,0.2549874,19,0.021248432,0.4072836,-1,-1,0.0,False,False
9,27.978531710070946,40,0.26433176,22,0.023245078,0.31193057,-1,-1,0.0,False,False
10,29.045076651455027,40,0.27680844,7,0.037725367,0.31193057,-1,-1,0.0,False,False
11,30.96014927957571,40,0.26906425,0,0.04468619,0.36431947,-1,-1,0.0,False,False
12,20.701872524661084,26,0.28943965,8,0.054410458,0.31180274,-1,-1,0.0,True,False
13,30.025320697865418,40,0.25810927,1,0.023103844,0.31180274,-1,-1,0.0,False,False
14,31.81967173545334,40,0.28773057,7,0.040500216,0.31180274,-1,-1,0.0,False,False
15,22.868479472727792,27,0.33018467,16,0.0516195,0.36431947,-1,-1,0.0,True,False
16,33.4929717004167,37,0.3425884,14,0.047949273,0.36431947,-1,-1,0.0,True,False
17,30.022088654435603,40,0.25807136,2,0.03095535,0.31180274,-1,-1,0.0,False,False
18,6.505852115562676,8,0.3469972,3,0.117472365,0.36431947,-1,-1,0.0,True,False
19,29.467293511944156,40,0.2689564,8,0.018759234,0.31180274,-1,-1,0.0,False,False
20,19.02367213699298,25,0.28826416,9,0.05639754,0.31193057,-1,-1,0.0,True,False
