episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,43.217711045250574,80,33.22585513802562,15,1.515333947141965,27.333288383483897,3.9905085616606817,1.606536348646437,0.08749999890625001,False,True
2,27.89121109488666,57,32.131040197363994,11,1.7002403688709629,27.313624827067056,4.949939827575915,1.2592857007507055,0.17543859341335802,False,True
3,39.351160722152365,80,32.24457728531898,16,1.6962649114926673,27.310298538208013,5.27226067620453,1.5890947802385609,0.03749999953125001,False,True
4,38.64158276709015,80,31.36167504606523,16,1.5609046204884849,27.28206157684326,5.7587325186172205,1.0960347573337434,0.06249999921875001,False,True
5,17.846536389956807,40,31.4081836891047,10,2.2493219486872364,27.330805015563975,5.1338239618325066,1.2511556519133338,0.07499999812500005,False,True
6,27.921951371366823,62,31.171144289837414,13,1.5826042775184859,27.23524430592855,5.683082168896688,1.1220910563859423,0.12903225598335072,False,True
7,43.32276463473783,80,31.769180839509954,12,1.4619469706217454,27.33307921091715,6.123337391619032,1.6363843108086749,0.012499999843750002,False,True
8,40.683846804552104,80,32.1470362022486,20,1.4473268651962286,27.317224820454907,4.817405472063467,1.1095121292630254,0.07499999906250002,False,True
9,37.77741995230544,76,31.937619026639734,14,1.8694065407702798,27.33332932790121,4.38901205905541,0.9491847382404449,0.17105262932825488,False,True
10,18.95372088850332,39,32.03022033244434,8,2.273813628335282,27.321365547180186,5.185514576250574,1.4006218131828978,0.10256409993425386,False,True
11,39.020997905797444,80,32.30897252784075,18,1.500755068461099,27.330313682556152,4.877089555090964,0.9714690175133073,0.07499999906250002,False,True
12,37.56582247412719,78,32.36894804626901,25,1.9425394539140233,27.33150863647461,4.228567661354388,0.9686110607209771,0.12820512656147273,False,True
13,13.396912164487102,26,32.037763783478226,3,2.892867519916633,27.332442792256675,4.8410842569614765,2.376676916195414,0.0,False,True
14,20.319561601734716,53,31.57632482051989,13,1.9487269947018204,26.702120844523115,5.998805751740406,1.3551246382558575,0.056603772516909956,True,False
15,17.805185231104048,37,31.763325241717965,4,2.2092162660650314,27.32856731414794,7.362629260516488,1.259462875154337,0.08108107888970058,False,True
16,21.216298490549846,42,30.684472860798014,0,2.23454948871855,27.328197479248047,11.752481580001636,2.23200083039,0.0,False,True
17,8.65422137890306,22,30.61760712009975,3,3.3062114802273856,27.333326212565098,10.427900196277932,0.622653890107448,0.2272727169421492,False,True
18,23.884119467538504,58,32.13977354453147,16,1.8928909698622731,27.32813250223795,5.610415115319108,0.7435798236099439,0.12068965309155771,True,False
19,39.27529251834002,80,31.08379071461696,15,1.4609330344200135,27.31985594431558,8.553976318714215,1.3825449414664674,0.11249999859375003,False,True
20,39.36670587935426,77,32.747196913740744,19,1.6832376975517727,27.27946694691975,5.445242109984421,1.0700873737470835,0.14285714100185531,False,True
