,Value
episode,10.5
total_reward,6.8423678417943545
steps,36.4
avg_speed_ms,0.07022123038768768
lane_changes,0.1
avg_jerk,0.7088298797607422
max_jerk,1.6621131896972656
avg_ttc,-1.0
min_ttc,-1.0
ttc_violation_rate,0.0
collision,0.1
success,0.0
