episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,13.292483900531359,42,30.308649610915992,6,1.9661051328661654,27.013461303710947,4.520023800117883,1.0450179186137174,0.1904761859410432,True,False
2,1.468900009254746,16,30.539074233383232,5,4.191585288879574,27.189010492960605,3.5038346452154534,0.9054463792265571,0.4374999726562517,True,False
3,19.84781423951359,52,32.12809787918345,15,1.804142757860591,26.531675020853687,4.081611043198301,0.5573271268158893,0.24999999519230778,True,False
4,37.79638901935281,80,32.614088740567205,15,1.170348140398663,26.937244606018076,4.634494390328017,1.0928306293824532,0.08749999890625001,False,True
5,37.27956765528952,80,31.532213882638022,21,1.2414001282056186,27.262716674804683,5.552141704832775,0.9204909612182619,0.12499999843750002,False,True
6,37.126035416837354,80,31.15801865035431,10,1.3241943629582713,26.99460506439209,9.995652986663623,2.1649040335517786,0.0,False,True
7,37.62644205348224,80,31.725398841105065,17,1.2268828455607075,27.174598948160796,7.078610283309942,0.5600158944844882,0.14999999812500003,False,True
8,36.81707831926676,80,31.126160282236594,14,1.1033013997475307,27.123906644185386,6.892138850075608,1.0157101672697473,0.09999999875000001,False,True
9,21.445477245071906,50,31.327827110933782,14,1.5867672214508028,27.188347816467285,4.658982741259821,0.7652337967860111,0.11999999760000006,False,True
10,39.62384227494858,80,32.263359604709265,25,1.3082611308495198,27.19321530659993,5.016592704884744,0.9346123960872453,0.13749999828125004,False,True
11,40.583317318224566,80,32.560909535377164,16,1.1827868930498773,27.066826121012358,5.129685003037581,0.7876868652738936,0.09999999875000001,False,True
12,31.347994466358486,80,30.034575925943756,19,1.2673718897501616,27.176448567708345,7.428755920533679,1.046831117223961,0.11249999859375003,False,True
13,20.019745619656145,47,32.86235222955031,7,1.8533900066072084,27.10957298278809,5.162462521096365,1.1806765193281297,0.08510638116794934,True,False
14,38.7808845883912,78,32.21433286345908,14,1.158719236422805,27.209852091471348,4.512636592686897,1.2087171247866613,0.11538461390532546,False,True
15,37.481414511361315,80,31.852150224653084,17,1.238729197581608,26.781076812744136,6.806310367093358,0.7860505105224089,0.11249999859375003,False,True
16,37.254366046319475,80,31.67925186036316,19,1.233463108539583,27.220081520080576,4.751970666241658,0.7206915779283772,0.14999999812500003,False,True
17,-4.3664067848198895,5,26.0755013991287,2,12.15391785603671,26.880465825398755,6.394075545350271,0.8746523214208693,0.799999840000032,True,False
18,28.166029052044856,80,27.626209274313762,10,1.1220384232203173,26.318425814310718,10.459218081587753,1.4956458635404182,0.024999999687500003,False,True
19,39.42468364601244,80,31.413107097080992,14,1.3771011493603385,26.916520945231113,6.242380996236742,1.206075133256177,0.06249999921875001,False,True
20,6.90984979694963,27,30.572289655000354,3,2.8568032800189096,27.203359731038418,6.549028151798318,1.5715152791122518,0.07407407133058995,True,False
