episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,20.593336773315457,80,0.21867673,46,0.010206291,0.30600798,-1,-1,0.0,False,False
2,19.543222649808165,80,0.22994299,45,0.010155391,0.2749663,-1,-1,0.0,False,False
3,21.552843978822505,80,0.23694965,43,0.010227107,0.29992425,-1,-1,0.0,False,False
4,25.15429746929628,80,0.264048,42,0.011428538,0.30937332,-1,-1,0.0,False,False
5,20.944165799393804,80,0.23846054,39,0.0099502215,0.2953129,-1,-1,0.0,False,False
6,20.851165658570803,80,0.23544106,45,0.008018095,0.15910499,-1,-1,0.0,False,False
7,25.335521262518935,80,0.26755673,41,0.012693514,0.26926732,-1,-1,0.0,False,False
8,21.826143620293745,80,0.23033257,46,0.009597541,0.311365,-1,-1,0.0,False,False
9,21.058111140352622,80,0.23487127,47,0.009881614,0.2579878,-1,-1,0.0,False,False
10,22.70611382279157,80,0.24226794,45,0.009758543,0.26866966,-1,-1,0.0,False,False
11,21.55757700214153,80,0.25247586,44,0.010951591,0.3107281,-1,-1,0.0,False,False
12,21.74815433101475,80,0.25286597,37,0.010136671,0.2792941,-1,-1,0.0,False,False
13,21.11249120823204,80,0.23072192,51,0.009529429,0.24048711,-1,-1,0.0,False,False
14,21.61497139307901,80,0.23255396,49,0.01077736,0.31240782,-1,-1,0.0,False,False
15,20.936105046645686,80,0.23387042,54,0.017752638,0.2961694,-1,-1,0.0,False,False
16,19.621189592431108,80,0.21696767,49,0.011371229,0.3122401,-1,-1,0.0,False,False
17,20.435762364611538,80,0.23947203,41,0.008051868,0.16176853,-1,-1,0.0,False,False
18,20.226388693902837,80,0.23841396,41,0.010124796,0.31101757,-1,-1,0.0,False,False
19,21.912872652098038,80,0.23491259,48,0.010047538,0.3117904,-1,-1,0.0,False,False
20,21.443787372439903,80,0.23057242,49,0.009151205,0.20139726,-1,-1,0.0,False,False
