agent,SI,EI,CI,RCI,GPS
dqn,0.7910252610906839,0.7027828833075728,0.5237149492104015,0.8655657666151454,0.7356370768023774
ppo,1.0,0.8242252809191544,0.8382291975745314,0.6484505618383088,0.8702695481876722
sac,0.8822351137655812,0.8762831497456204,0.6406026242446886,0.9858996328245739,0.859754328990308
td3,0.9328989143666395,0.9435660308705286,0.6202040308134383,0.9871320617410575,0.8973297888909889
