agent,episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
dqn,25.5,26.12447232421839,28.98,27.698104531684653,10.200000000000001,4.538084179826641,27.630973684960946,21.854279102753765,1.274577608908032,0.124873694546581,0.45999999999999996,0.54
ppo,25.5,29.535337177912396,40.0,20.750417978825883,3.0933333333333333,1.6650689293133663,21.773119116301327,407.4668221165919,12.34301436213014,0.0,0.0,1.0
sac,25.5,29.939167211139807,64.79333333333334,31.548788250386366,12.44,1.843289595921857,27.020281256569756,7.184446285882504,0.9855489108334371,0.1221577645054277,0.2333333333333333,0.7666666666666666
td3,25.5,27.73636530996821,57.79333333333333,31.58822597571384,12.293333333333335,2.232155041998249,27.240905003653637,5.533273427150174,1.1274930970062886,0.13550542816680225,0.09999999999999999,0.9
