agent,episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
dqn,0.0,0.7882251561830433,0.48497422611928565,0.30051107795993154,0.8515867542417506,0.5054730721459537,0.34215834835745035,12.390997816239596,0.0956626010249178,0.028152519402175617,0.03464101615137754,0.0346410161513775
ppo,0.0,0.07115700234266334,0.0,0.017790253438046556,0.3008875759039136,0.04480248479647821,0.03454742623499387,55.08239308350692,0.7148011382200451,0.0,0.0,0.0
sac,0.0,2.2353536371638687,4.197586608199204,0.12401378520326377,1.5815182578775373,0.23189143189961703,0.03508815717862742,0.6536678480062699,0.10548234604622897,0.010279380287248582,0.03055050463303893,0.030550504633038947
td3,0.0,2.7495667170694724,4.898054035362749,0.10500985712668962,1.5212275744717922,0.278480105929436,0.04726404708177298,0.07835410118019809,0.11238034871802292,0.015105991723023111,0.05291502622129181,0.05291502622129177
