Model,GPS,Safety (SI),Efficiency (EI),Comfort (CI),Compliance (RCI),Collision Rate,Success Rate,Avg Speed (m/s),Avg TTC (s),Avg Jerk,Lane Changes,Avg Reward
DQN,0.7873223589482479,0.8526295315968663,0.788467556365846,0.521266749933291,0.876935112731692,0.3,0.7,28.061923607414144,10.96921464638476,4.145554167778484,11.5,28.61841601860997
PPO,0.8504777414598936,0.9780000004,0.7981828312395702,0.8191202837076765,0.6463656624791405,0.05,0.95,20.683701199332496,278.103172169281,2.1646619382053904,2.55,28.25606346130371
SAC,0.9176732565434956,0.9620865311433231,0.9656575680874757,0.6396273548912055,0.9813151361749516,0.05,0.95,31.40208435759845,8.53372254244548,1.3228774184799088,14.05,34.04294219533189
TD3,0.8647516330002376,0.8923114763521158,0.891149942409502,0.6209138467579343,0.9822998848190038,0.2,0.8,31.43359631420812,5.810102256360477,2.7014358873677624,10.85,26.363910663014668
