Model,GPS,Safety (SI),Efficiency (EI),Comfort (CI),Compliance (RCI),Collision Rate,Success Rate,Avg Speed (m/s),Avg TTC (s),Avg Jerk,Lane Changes,Avg Reward
DQN,0.7532859858648516,0.7983924999626736,0.7097718594121926,0.603772468216444,0.8695437188243851,0.45,0.55,27.825399002380323,29.628995175300485,3.153792196392601,10.35,28.607748347282307
PPO,0.8715421427673457,1.0,0.8231881255307866,0.8508617829924905,0.6463762510615731,0.0,1.0,20.68404003397034,281.9389764693773,1.6189702834584925,2.6,29.43811416625977
SAC,0.8269259069970323,0.8476495895673775,0.8356356007038259,0.6098980716519051,0.9712712014076519,0.3,0.7,31.08067844504486,5.96853034977744,2.118365472468248,13.15,27.89629541970235
TD3,0.8941976059699486,0.9301038348861408,0.9376939795899044,0.6302645617436646,0.9753879591798087,0.1,0.9,31.21241469375388,6.198746697794702,2.4122573042722557,11.25,25.172402336315937
