agent,SI,EI,CI,RCI,GPS
dqn,0.008374308189211314,0.021816725352826208,0.040563449348259256,0.00939097118624786,0.005661516204863264
ppo,0.0,0.0002779727099694796,0.005993329662093641,0.0005559454199389549,0.0007525406617856307
sac,0.012713733161622288,0.016550664765025168,0.02791811124548841,0.0038754307876019928,0.008339747452278954
td3,0.02398327372385025,0.0274770893198624,0.021421804587812836,0.0032815580352090505,0.01829793502616309
