Metric,Value
episode,10.5
total_reward,48.97946915948731
steps,54.5
avg_speed_ms,0.31473860144615173
lane_changes,37.2
avg_jerk,0.09763659536838531
max_jerk,0.3432318866252899
avg_ttc,-1.0
min_ttc,-1.0
ttc_violation_rate,0.0
collision,0.8
success,0.0
