episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,146.69414800139324,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
2,133.3608146680604,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
3,142.24970355694865,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
4,146.69414800139324,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
5,137.8052591125042,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
6,146.69414800139324,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
7,133.3608146680604,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
8,137.8052591125042,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
9,137.8052591125042,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
10,142.24970355694865,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
11,146.69414800139324,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
12,133.3608146680604,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
13,142.24970355694865,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
14,146.69414800139324,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
15,137.8052591125042,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
16,137.8052591125042,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
17,133.3608146680604,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
18,137.8052591125042,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
19,133.3608146680604,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
20,133.3608146680604,200,0.2500644,0,0.0026953584,0.26953587,-1,-1,0.0,False,False
