episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,15.661407554162121,17,0.36057985,0,0.056523457,0.36431947,-1,-1,0.0,True,False
2,1.9066545302186961,3,0.30417487,0,0.30892769,0.36431947,-1,-1,0.0,True,False
3,15.400726072680627,17,0.370118,0,0.0469853,0.36431947,-1,-1,0.0,True,False
4,7.439185351926311,9,0.34889483,0,0.10563367,0.36431947,-1,-1,0.0,True,False
5,8.861407554745767,10,0.37371176,0,0.07286389,0.36431947,-1,-1,0.0,True,False
6,195.52807422082918,200,0.3749356,0,0.0036431944,0.36431947,-1,-1,0.0,False,False
7,2.03998786355203,3,0.30836347,0,0.30473912,0.36431947,-1,-1,0.0,True,False
8,6.15029656000712,7,0.37315968,0,0.1040911,0.36431947,-1,-1,0.0,True,False
9,12.728074220831687,14,0.3582181,0,0.06790736,0.36431947,-1,-1,0.0,True,False
10,3.039322475150316,4,0.32191375,0,0.23196352,0.36431947,-1,-1,0.0,True,False
11,2.7726558084836497,4,0.32191375,0,0.23196352,0.36431947,-1,-1,0.0,True,False
12,7.83918535192631,9,0.34776196,0,0.10676653,0.36431947,-1,-1,0.0,True,False
13,4.939114909630418,6,0.35461828,0,0.1396733,0.36431947,-1,-1,0.0,True,False
14,7.039185448896008,8,0.3456317,0,0.11883786,0.36431947,-1,-1,0.0,True,False
15,4.141410587566462,5,0.36742383,0,0.15071905,0.36431947,-1,-1,0.0,True,False
16,4.072447112455561,5,0.35054186,0,0.16760103,0.36431947,-1,-1,0.0,True,False
17,199.9725186652732,200,0.3749356,0,0.0036431944,0.36431947,-1,-1,0.0,False,False
18,5.728074905230036,7,0.34466878,0,0.13258196,0.36431947,-1,-1,0.0,True,False
19,12.416963109720577,14,0.35748982,0,0.06863563,0.36431947,-1,-1,0.0,True,False
20,13.039185331942797,14,0.3589984,0,0.06712708,0.36431947,-1,-1,0.0,True,False
