episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,6.288632941099448,9,0.26964068,1,0.1398767,0.36293277,-1,-1,0.0,True,False
2,6.820049116055328,8,0.3540393,3,0.08953424,0.31180274,-1,-1,0.0,True,False
3,174.6194889957663,200,0.3165561,174,0.008617638,0.31180274,-1,-1,0.0,False,False
4,1.753870079298712,3,0.29834765,2,0.22123826,0.31193057,-1,-1,0.0,True,False
5,18.41937694276253,21,0.3322777,4,0.058107156,0.36431947,-1,-1,0.0,True,False
6,173.50961373524578,200,0.314059,174,0.00842373,0.26068053,-1,-1,0.0,False,False
7,6.270677496413097,9,0.2779835,0,0.12291377,0.26068053,-1,-1,0.0,True,False
8,6.597140036725801,8,0.332491,1,0.12594461,0.31180274,-1,-1,0.0,True,False
9,52.59584477165806,66,0.29153985,1,0.06103832,0.36431947,-1,-1,0.0,True,False
10,5.625070087572185,7,0.32757163,0,0.14923654,0.4072836,-1,-1,0.0,True,False
11,2.6221197095484383,4,0.26836282,1,0.21631245,0.4072836,-1,-1,0.0,True,False
12,8.148287767034684,10,0.3183773,2,0.12904617,0.31193057,-1,-1,0.0,True,False
13,19.390959255182217,24,0.29870498,3,0.09511429,0.31193057,-1,-1,0.0,True,False
14,25.24400249358006,30,0.31265515,12,0.06490871,0.4072836,-1,-1,0.0,True,False
15,28.13333278587404,32,0.32521108,11,0.04880692,0.4072836,-1,-1,0.0,True,False
16,197.5693949296898,200,0.37117827,176,0.010327366,0.36431947,-1,-1,0.0,False,False
17,197.8138393738661,200,0.37149078,176,0.009367063,0.4072836,-1,-1,0.0,False,False
18,3.7771011950005393,5,0.3051581,0,0.22375007,0.4072836,-1,-1,0.0,True,False
19,20.412721168494155,24,0.31971806,3,0.073440984,0.31180274,-1,-1,0.0,True,False
20,23.97786030887896,30,0.28940937,0,0.096726865,0.26068053,-1,-1,0.0,True,False
