episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,27.64890617132187,40,21.025763225662278,3,1.6116453525059327,21.562868402593203,1162.1555204188514,5.626156242089876,0.0,False,True
2,29.894148468971252,40,20.65076323503728,1,1.6116462088863934,25.0,469.32693675120333,9.432727103067085,0.0,False,True
3,31.084279656410217,40,22.129402168195483,7,2.3643457584986765,21.562868402593203,151.72602042636348,6.409031654654537,0.0,False,True
4,29.249699771404266,40,21.650763210037272,4,1.889388263274353,20.8544411731307,233.2291124657369,12.739972296406206,0.0,False,True
5,30.005259335041046,40,21.65076321003728,3,1.6885308195581974,21.562868402593203,445.38017615677325,9.370537616999782,0.0,False,True
6,30.158147990703583,40,21.025762490565732,4,2.0280603554575913,21.562868402593203,373.76607685540705,8.17086024123087,0.0,False,True
7,27.894148528575897,40,21.27576321941228,1,1.8299362778319057,20.8544411731307,246.3595732808791,3.72723970648416,0.0,False,True
8,29.224815011024475,40,20.150763247537277,4,1.2031434201296598,21.562868402593203,48.11871811614693,15.78316367224139,0.0,False,True
9,29.801196813583374,40,21.150763222537282,6,1.688304869423168,21.562868402593203,87.08797470433645,6.55100153191987,0.0,False,True
10,29.271363079547882,40,21.40076321628728,3,1.688506505502622,21.562868402593203,908.6037698579111,3.965375843296972,0.0,False,True
11,28.783037304878235,40,20.150763247537277,2,1.2031434201296598,21.562868402593203,105.13621396762629,24.411132092071586,0.0,False,True
12,29.360815048217773,40,20.150763247537277,1,1.2031434201296598,21.562868402593203,597.2523996141529,25.058104555493852,0.0,False,True
13,30.359311401844025,40,22.025763200662283,5,1.8249763620186041,25.0,738.8412831633192,9.152319328531478,0.0,False,True
14,29.894148230552673,40,20.650763235037275,1,1.681454504288189,21.562868402593203,92.61849257798907,10.870072787794722,0.0,False,True
15,29.805209755897522,40,20.650617088160224,2,1.6807454570864202,21.562868402593203,197.63119153163524,4.312350437381908,0.0,False,True
16,30.315415859222412,40,21.149908003467484,3,2.155615448971182,21.562868402593203,413.52039452203,12.116721378190004,0.0,False,True
17,30.003367841243744,40,20.77576323191228,2,1.6166348435897107,21.562868402593203,18.24678115911649,2.2142379750198926,0.0,False,True
18,28.915571928024292,40,20.150763247537277,9,1.2031434201296598,21.562868402593203,386.32604605706666,66.17900607882328,0.0,False,True
19,29.336701273918152,40,20.150763247537277,1,1.2031434201296598,21.562868402593203,152.04994138505864,10.440202441644848,0.0,False,True
20,29.291586816310883,40,20.150763247537277,3,1.2031434201296598,21.562868402593203,959.9994661276002,34.572377140342,0.0,False,True
