episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,11.26162561396758,14,0.29873097,13,0.058280047,0.31193057,-1,-1,0.0,True,False
2,29.360814668060133,40,0.25032204,0,0.013476792,0.26953587,-1,-1,0.0,False,False
3,28.960814668060134,40,0.25029987,22,0.013563837,0.26953587,-1,-1,0.0,False,False
4,29.446270087393547,40,0.25184432,29,0.01814664,0.36293277,-1,-1,0.0,False,False
5,28.094148001393467,40,0.25024518,22,0.013575089,0.26953587,-1,-1,0.0,False,False
6,17.400000000000006,21,0.30343315,20,0.038828716,0.3125,-1,-1,0.0,True,False
7,28.471925779171247,40,0.25032204,0,0.013476792,0.26953587,-1,-1,0.0,False,False
8,30.801998354580007,40,0.26747134,33,0.018228449,0.31193057,-1,-1,0.0,False,False
9,29.82244024788261,40,0.25651297,32,0.01822861,0.31193057,-1,-1,0.0,False,False
10,29.360814668060133,40,0.25032204,38,0.013476792,0.26953587,-1,-1,0.0,False,False
11,1.774530175783222,3,0.2766726,3,0.24291335,0.31193057,-1,-1,0.0,True,False
12,29.360814668060133,40,0.25032204,34,0.013476792,0.26953587,-1,-1,0.0,False,False
13,26.694148001393476,40,0.25032204,22,0.013476792,0.26953587,-1,-1,0.0,False,False
14,29.360814668060133,40,0.25032204,26,0.013476792,0.26953587,-1,-1,0.0,False,False
15,34.665167721296385,40,0.31248242,40,0.015590137,0.31180274,-1,-1,0.0,False,False
16,33.092649056006124,40,0.29405448,29,0.018181112,0.31180274,-1,-1,0.0,False,False
17,29.11636621920575,40,0.2502728,16,0.013572164,0.26953587,-1,-1,0.0,False,False
18,28.471925779171247,40,0.25032204,0,0.013476792,0.26953587,-1,-1,0.0,False,False
19,30.427481334726792,40,0.26282206,28,0.018215973,0.3125,-1,-1,0.0,False,False
20,29.094010875202994,40,0.25024518,20,0.013531238,0.26953587,-1,-1,0.0,False,False
